"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","","1","","2015-09-30 01:21:40"
"2","2","2","よく使う項目","2","/admin/favorites/*","1","1","","2015-09-30 01:21:40"
"3","3","3","ページ管理","2","/admin/pages/*","1","1","","2015-09-30 01:21:40"
"4","4","4","ページテンプレート読込・書出","2","/admin/pages/*_page_files","","1","","2015-09-30 01:21:40"
"7","7","7","新着情報記事管理","2","/admin/blog/blog_posts/*","1","1","2016-08-16 19:29:56","2015-09-30 01:21:40"
"9","9","9","新着情報カテゴリ管理","2","/admin/blog/blog_categories/*","","","2018-04-29 15:40:19","2015-09-30 01:21:40"
"10","10","10","新着情報コメント一覧","2","/admin/blog/blog_comments/*","","","2018-04-29 15:40:11","2015-09-30 01:21:40"
"11","11","11","ブログタグ管理","2","/admin/blog/blog_tags/*","","","2018-04-29 15:40:31","2015-09-30 01:21:40"
"13","13","13","お問い合わせ管理","2","/admin/mail/mail_fields/*","","","2018-04-29 15:40:38","2015-09-30 01:21:40"
"14","14","14","お問い合わせ受信メール一覧","2","/admin/mail/mail_messages/*","","","2018-04-29 15:40:47","2015-09-30 01:21:40"
"15","15","15","エディタテンプレート呼出","2","/admin/editor_templates/js","","","2018-04-29 15:40:59","2015-09-30 01:21:40"
"16","16","16","アップローダー","2","/admin/uploader/*","1","1","","2015-09-30 01:21:40"
"17","17","17","コンテンツ管理","2","/admin/contents/*","1","1","2016-08-16 19:28:39","2016-08-16 19:28:39"
"18","18","18","リンク管理","2","/admin/content_links/*","1","1","2016-08-16 19:28:56","2016-08-16 19:28:56"
"19","19","19","OGPプラグイン 管理","2","/admin/o_g_p/*","","1","2018-04-29 15:41:27","2018-04-12 17:53:07"
"20","20","20","OGPプラグイン 管理","2","/admin/ogp/*","","1","2018-04-29 15:41:35","2018-04-12 18:19:32"
